"ООО КОЛЬСКАЯ ВЕРФЬ";;;;;;;"Стр. 1";;
;;;;;;

"за период с 01.12.2015 00:00:00  по  31.12.2015 23:59:59";;;;;;;;;;
;;;;;;
"Детализация оказанных услуг по Абонентскому номеру  +79113083788";;;;;;;;;;;;;

"Дата";;;"Время";;"Абонентский номер,адрес электроннойпочты, точкадоступа";"Прод/Объем";;"Единицатарификации(мин, сек, шт,Kb, Mb)";"Вид услуги";"Место вызова";"Стоимость (сНДС),  руб.";;
"01.12.15";;;"10:13:44";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"11:13:44";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"11:48:17";;"79021360534";"2";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"12:13:44";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"12:47:09";;"79113051415";"0";;"Штука";"Входящие СМС";"Мурманск";"0.00";;
"01.12.15";;;"12:47:51";;"79113051415";"0";;"Штука";"СМС исходящие";"Мурманск";"0.00";;
"01.12.15";;;"12:48:33";;"79113051415";"0";;"Штука";"Входящие СМС";"Мурманск";"0.00";;
"01.12.15";;;"13:13:44";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"14:13:44";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"15:02:24";;"79211797466";"1.03";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;

"Место вызова - местонахождение абонента  при пользовании услугой ";;;;;;;;;;
"ООО КОЛЬСКАЯ ВЕРФЬ";;;;;;;"Стр. 2";;
;;;;;;

"за период с 01.12.2015 00:00:00  по  31.12.2015 23:59:59";;;;;;;;;;
;;;;;;
"Детализация оказанных услуг по Абонентскому номеру  +79113083788";;;;;;;;;;;;;
"Дата";;;"Время";;"Абонентский номер,адрес электроннойпочты, точкадоступа";"Прод/Объем";;"Единицатарификации(мин, сек, шт,Kb, Mb)";"Вид услуги";"Место вызова";"Стоимость (сНДС),  руб.";;
"01.12.15";;;"15:13:44";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"15:15:46";;"412943";"7";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"15:25:43";;"2476203";"0";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"15:28:41";;"2476203";"1";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"15:31:58";;"995995";"2";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"15:35:01";;"995995";"2";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"15:36:46";;"478477";"1";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"15:38:18";;"89062865967";"3";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"16:04:55";;"79217240424";"2.32";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"01.12.15";;;"16:12:03";;"9522922534";"0.4";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"01.12.15";;;"16:13:44";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"16:18:21";;"9658021511";"2.97";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"01.12.15";;;"17:00:26";;"79243192292";"16.42";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"01.12.15";;;"17:22:54";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"18:07:14";;"79255562570";"3";;"Минута";"Исходящиемеждугородные вызовы";"Мурманск";"0.00";;
"01.12.15";;;"18:22:54";;"INTERNET";"3000";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"18:56:12";;"79211797466";"1";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"18:57:19";;"INTERNET";"5000";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"19:02:13";;"INTERNET";"750";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"19:02:28";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"19:22:54";;"INTERNET";"1250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"19:57:19";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"20:05:22";;"79113162488";"30";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"20:06:35";;;"0";;"Минута";"Дополнительные услуги";"Мурманск";"0.00";;
"01.12.15";;;"20:07:01";;;"0";;"Минута";"Дополнительные услуги";"Мурманск";"0.00";;
"01.12.15";;;"20:23:20";;;"0";;"Минута";"Дополнительные услуги";"Мурманск";"0.00";;
"01.12.15";;;"20:35:08";;;"0";;"Минута";"Дополнительные услуги";"Мурманск";"0.00";;
"01.12.15";;;"20:35:40";;"79213149615";"2";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;

"Место вызова - местонахождение абонента  при пользовании услугой ";;;;;;;;;;
"ООО КОЛЬСКАЯ ВЕРФЬ";;;;;;;"Стр. 3";;
;;;;;;

"за период с 01.12.2015 00:00:00  по  31.12.2015 23:59:59";;;;;;;;;;
;;;;;;
"Детализация оказанных услуг по Абонентскому номеру  +79113083788";;;;;;;;;;;;;
"Дата";;;"Время";;"Абонентский номер,адрес электроннойпочты, точкадоступа";"Прод/Объем";;"Единицатарификации(мин, сек, шт,Kb, Mb)";"Вид услуги";"Место вызова";"Стоимость (сНДС),  руб.";;
"01.12.15";;;"20:37:37";;"264802";"2";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"20:39:51";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"20:40:26";;"MMS";"630";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"20:40:26";;"9522936284";"0";;"Штука";"ММС исходящие";"Мурманск";"4.00";;
"01.12.15";;;"20:41:52";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"20:42:51";;"9113162488";"0.35";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"01.12.15";;;"20:44:24";;"5118";"0";;"Штука";"Входящие СМС";"Мурманск";"0.00";;
"01.12.15";;;"20:44:30";;"5118";"0";;"Штука";"Входящие СМС";"Мурманск";"0.00";;
"01.12.15";;;"20:44:55";;"5118";"0";;"Штука";"Входящие СМС";"Мурманск";"0.00";;
"01.12.15";;;"20:45:02";;"5118";"0";;"Штука";"Входящие СМС";"Мурманск";"0.00";;
"01.12.15";;;"20:45:17";;"9113162488";"0";;"Штука";"ММС входящие";"Мурманск";"0.00";;
"01.12.15";;;"20:45:35";;"9113162488";"0";;"Штука";"ММС входящие";"Мурманск";"0.00";;
"01.12.15";;;"20:46:05";;"79113162488";"0";;"Штука";"СМС исходящие";"Мурманск";"0.00";;
"01.12.15";;;"20:57:52";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"21:38:36";;"79211797466";"1.8";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"01.12.15";;;"21:44:24";;"79113057803";"1";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"21:57:52";;"INTERNET";"1250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"22:21:54";;"79211797466";"1";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"22:37:20";;"INTERNET";"500";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"22:41:31";;"79211797466";"0.77";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"01.12.15";;;"22:43:05";;"79658021511";"5";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"01.12.15";;;"22:57:52";;"INTERNET";"3000";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"01.12.15";;;"23:57:52";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"00:02:49";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"01:02:49";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"02:02:49";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"03:02:49";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;

"Место вызова - местонахождение абонента  при пользовании услугой ";;;;;;;;;;
"ООО КОЛЬСКАЯ ВЕРФЬ";;;;;;;"Стр. 4";;
;;;;;;

"за период с 01.12.2015 00:00:00  по  31.12.2015 23:59:59";;;;;;;;;;
;;;;;;
"Детализация оказанных услуг по Абонентскому номеру  +79113083788";;;;;;;;;;;;;
"Дата";;;"Время";;"Абонентский номер,адрес электроннойпочты, точкадоступа";"Прод/Объем";;"Единицатарификации(мин, сек, шт,Kb, Mb)";"Вид услуги";"Место вызова";"Стоимость (сНДС),  руб.";;
"02.12.15";;;"04:02:49";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"05:02:49";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"06:02:49";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"07:02:49";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"07:30:32";;"9658021511";"2.43";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"07:37:02";;"79211797466";"7.35";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"07:44:39";;"INTERNET";"2250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"07:44:40";;"INTERNET";"500";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"08:25:38";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"09:25:39";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"09:28:08";;"9091571908";"3.37";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"10:12:02";;"9091571908";"2.7";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"10:25:39";;"INTERNET";"500";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"11:14:05";;"79211797466";"0.8";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"11:15:35";;"79124245015";"6";;"Минута";"Исходящиемеждугородные вызовы";"Мурманск";"0.00";;
"02.12.15";;;"11:25:39";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"11:46:15";;"89215166101";"3";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"02.12.15";;;"11:49:31";;"89113073661";"3";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"02.12.15";;;"11:54:09";;"4957306000";"0.62";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"11:55:21";;"4957306000";"9.22";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"12:24:00";;"79021360534";"6";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"02.12.15";;;"12:25:39";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"12:31:50";;"9522936284";"0.58";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"12:34:16";;"79522936284";"0";;"Штука";"СМС исходящие";"Мурманск";"0.00";;
"02.12.15";;;"12:35:42";;"402532";"2";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"02.12.15";;;"12:37:07";;"402532";"3";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"02.12.15";;;"12:39:58";;"402532";"2";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"02.12.15";;;"12:43:29";;"8152691905";"3.77";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;

"Место вызова - местонахождение абонента  при пользовании услугой ";;;;;;;;;;
"ООО КОЛЬСКАЯ ВЕРФЬ";;;;;;;"Стр. 5";;
;;;;;;

"за период с 01.12.2015 00:00:00  по  31.12.2015 23:59:59";;;;;;;;;;
;;;;;;
"Детализация оказанных услуг по Абонентскому номеру  +79113083788";;;;;;;;;;;;;
"Дата";;;"Время";;"Абонентский номер,адрес электроннойпочты, точкадоступа";"Прод/Объем";;"Единицатарификации(мин, сек, шт,Kb, Mb)";"Вид услуги";"Место вызова";"Стоимость (сНДС),  руб.";;
"02.12.15";;;"12:47:29";;"INTERNET";"500";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"13:19:01";;"9522936284";"2.05";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"13:45:19";;"9113407379";"0.25";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"13:46:57";;"9255562570";"1.05";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"13:47:29";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"14:11:10";;"9113078894";"0.25";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"14:23:07";;"9113078894";"2.67";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"14:26:14";;"9508954275";"0.15";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"14:47:29";;"INTERNET";"500";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"14:58:59";;"9242118883";"4.47";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"15:25:10";;"79255562570";"6";;"Минута";"Исходящиемеждугородные вызовы";"Мурманск";"0.00";;
"02.12.15";;;"15:31:37";;"79319770529";"4.18";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"15:43:37";;"9255562570";"3.53";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"15:44:14";;;"0";;"Минута";"Дополнительные услуги";"Мурманск";"0.00";;
"02.12.15";;;"15:47:29";;"INTERNET";"500";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"15:48:27";;"9021335054";"1.63";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"16:19:51";;"89113093657";"4";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"02.12.15";;;"16:25:29";;"79113093657";"0";;"Штука";"Входящие СМС";"Мурманск";"0.00";;
"02.12.15";;;"16:27:10";;"79255562570";"3";;"Минута";"Исходящиемеждугородные вызовы";"Мурманск";"0.00";;
"02.12.15";;;"16:47:03";;"9255562570";"2.6";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"16:47:29";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"17:00:06";;"79217344140";"1.2";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"17:06:00";;"79319770529";"2.62";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"17:08:58";;"9118071660";"2.95";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"17:19:36";;"79211797466";"0.35";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"17:33:40";;"9255562570";"0";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"17:39:29";;"9255562570";"8.18";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"17:47:29";;"INTERNET";"500";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"18:47:29";;"INTERNET";"2000";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"18:51:59";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"18:59:54";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;

"Место вызова - местонахождение абонента  при пользовании услугой ";;;;;;;;;;
"ООО КОЛЬСКАЯ ВЕРФЬ";;;;;;;"Стр. 6";;
;;;;;;

"за период с 01.12.2015 00:00:00  по  31.12.2015 23:59:59";;;;;;;;;;
;;;;;;
"Детализация оказанных услуг по Абонентскому номеру  +79113083788";;;;;;;;;;;;;
"Дата";;;"Время";;"Абонентский номер,адрес электроннойпочты, точкадоступа";"Прод/Объем";;"Единицатарификации(мин, сек, шт,Kb, Mb)";"Вид услуги";"Место вызова";"Стоимость (сНДС),  руб.";;
"02.12.15";;;"19:02:24";;"79213149615";"1";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"02.12.15";;;"19:18:11";;"79658021511";"2";;"Минута";"Исходящие местныевызовы";"Мурманск";"0.00";;
"02.12.15";;;"19:59:54";;"INTERNET";"500";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"20:59:54";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"21:59:54";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"22:27:56";;"79211797466";"0.2";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"02.12.15";;;"22:59:54";;"INTERNET";"4750";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"23:12:21";;"INTERNET";"500";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"02.12.15";;;"23:59:54";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"00:08:49";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"01:08:49";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"02:08:49";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"03:08:49";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"04:08:50";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"05:08:50";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"06:08:50";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"07:08:50";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"07:37:18";;"79211797466";"0.63";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"08:00:09";;"79210302508";"1.57";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"08:08:50";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"08:21:58";;"79210302508";"2.12";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"08:27:52";;"INTERNET";"500";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"09:09:33";;"89052230755";"0";;"Минута";"Исходящиемеждугородные вызовы";"Мурманск";"0.00";;
"03.12.15";;;"09:20:53";;"79113051415";"0";;"Штука";"Входящие СМС";"Мурманск";"0.00";;
"03.12.15";;;"09:21:17";;"79113051415";"0";;"Штука";"СМС исходящие";"Мурманск";"0.00";;

"Место вызова - местонахождение абонента  при пользовании услугой ";;;;;;;;;;
"ООО КОЛЬСКАЯ ВЕРФЬ";;;;;;;"Стр. 7";;
;;;;;;

"за период с 01.12.2015 00:00:00  по  31.12.2015 23:59:59";;;;;;;;;;
;;;;;;
"Детализация оказанных услуг по Абонентскому номеру  +79113083788";;;;;;;;;;;;;
"Дата";;;"Время";;"Абонентский номер,адрес электроннойпочты, точкадоступа";"Прод/Объем";;"Единицатарификации(мин, сек, шт,Kb, Mb)";"Вид услуги";"Место вызова";"Стоимость (сНДС),  руб.";;
"03.12.15";;;"09:27:52";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"09:29:42";;"79212885901";"0.87";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"09:33:16";;"79210302508";"0.57";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"10:33:44";;"89176411745";"7";;"Минута";"Исходящиемеждугородные вызовы";"Мурманск";"0.00";;
"03.12.15";;;"10:40:37";;"9242118883";"0.9";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"10:42:11";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"10:44:49";;"89874977047";"8";;"Минута";"Исходящиемеждугородные вызовы";"Мурманск";"0.00";;
"03.12.15";;;"10:50:24";;;"0";;"Минута";"Дополнительные услуги";"Мурманск";"0.00";;
"03.12.15";;;"10:53:00";;"9255562570";"1.65";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"10:57:48";;"9658021511";"1.35";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"11:42:11";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"12:42:11";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"13:34:16";;"9255562570";"1.2";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"13:42:11";;"INTERNET";"250";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
"03.12.15";;;"13:45:27";;"9052230755";"15";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"13:51:03";;;"0";;"Минута";"Дополнительные услуги";"Мурманск";"0.00";;
"03.12.15";;;"13:51:58";;;"0";;"Минута";"Дополнительные услуги";"Мурманск";"0.00";;
"03.12.15";;;"13:54:52";;;"0";;"Минута";"Дополнительные услуги";"Мурманск";"0.00";;
"03.12.15";;;"13:59:33";;;"0";;"Минута";"Дополнительные услуги";"Мурманск";"0.00";;
"03.12.15";;;"14:01:07";;"9874977047";"2.62";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"14:07:29";;"79211797466";"2.1";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"14:10:09";;"9176411745";"14.02";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"14:25:01";;"9178446399";"4.42";;"Минута";"Входящие вызовы";"Мурманск";"0.00";;
"03.12.15";;;"14:42:11";;"INTERNET";"500";;"Килобайт";"Мобильный Интернет(пакетная передачаданных)";"Мурманск";"0.00";;
